"NarrowFieldOfStudyCode","NZQALevel","StudyRequirementsKey"
"0100",10,4
"0100",2,1
"0100",3,1
"0100",4,2
"0100",5,2
"0100",7,3
"0100",8,4
"0100",9,4
"0101",10,4
"0101",5,2
"0101",7,3
"0101",8,4
"0101",9,4
"0103",10,4
"0103",5,2
"0103",7,3
"0103",8,4
"0103",9,4
"0105",10,4
"0105",5,2
"0105",7,3
"0105",8,4
"0105",9,4
"0107",10,4
"0107",7,2
"0107",8,4
"0107",9,4
"0109",10,4
"0109",3,1
"0109",4,2
"0109",5,2
"0109",7,3
"0109",8,4
"0109",9,4
"0199",10,4
"0199",2,1
"0199",3,1
"0199",4,2
"0199",5,2
"0199",7,3
"0199",8,4
"0199",9,4
"0200",3,1
"0200",4,1
"0200",5,1
"0200",7,2
"0200",8,4
"0200",9,4
"0201",10,4
"0201",1,1
"0201",2,1
"0201",3,1
"0201",4,1
"0201",5,2
"0201",7,2
"0201",8,4
"0201",9,4
"0203",1,1
"0203",2,1
"0203",3,1
"0203",4,1
"0203",5,2
"0203",7,2
"0203",8,4
"0203",9,4
"0299",5,1
"0299",7,1
"0300",10,4
"0300",1,1
"0300",2,1
"0300",3,1
"0300",4,2
"0300",5,2
"0300",7,3
"0300",8,4
"0300",9,4
"0301",1,1
"0301",2,1
"0301",3,1
"0301",4,2
"0301",5,2
"0301",7,4
"0301",8,4
"0301",9,4
"0303",10,4
"0303",1,1
"0303",2,1
"0303",3,1
"0303",4,1
"0303",5,3
"0303",7,4
"0303",8,4
"0303",9,4
"0305",1,1
"0305",2,1
"0305",3,1
"0305",4,2
"0305",5,2
"0305",7,2
"0305",8,4
"0305",9,4
"0307",10,4
"0307",1,1
"0307",2,1
"0307",3,1
"0307",4,1
"0307",5,2
"0307",7,4
"0307",8,4
"0307",9,4
"0309",10,4
"0309",1,1
"0309",2,1
"0309",3,1
"0309",4,2
"0309",5,3
"0309",7,4
"0309",8,4
"0309",9,4
"0311",5,2
"0311",7,4
"0311",8,4
"0311",9,4
"0313",10,4
"0313",1,1
"0313",2,1
"0313",3,1
"0313",4,2
"0313",5,3
"0313",7,4
"0313",8,4
"0313",9,4
"0315",2,1
"0315",3,1
"0315",4,2
"0315",5,3
"0315",7,4
"0315",8,4
"0315",9,4
"0317",1,1
"0317",2,1
"0317",3,1
"0317",4,2
"0317",5,3
"0317",7,4
"0317",9,4
"0399",10,4
"0399",2,1
"0399",3,1
"0399",4,2
"0399",5,2
"0399",7,4
"0399",8,4
"0399",9,4
"0401",2,1
"0401",3,1
"0401",4,1
"0401",5,2
"0401",7,3
"0401",8,4
"0401",9,4
"0403",1,1
"0403",2,1
"0403",3,1
"0403",4,1
"0403",5,1
"0403",7,2
"0403",8,4
"0403",9,4
"0501",10,4
"0501",1,1
"0501",2,1
"0501",3,1
"0501",4,1
"0501",5,2
"0501",7,2
"0501",8,4
"0501",9,4
"0503",1,1
"0503",2,1
"0503",3,1
"0503",4,1
"0503",5,1
"0503",7,2
"0503",8,3
"0503",9,4
"0505",1,1
"0505",2,1
"0505",3,1
"0505",4,1
"0505",5,1
"0505",7,2
"0505",8,4
"0505",9,4
"0507",2,1
"0507",3,1
"0507",4,1
"0507",5,1
"0507",7,2
"0509",3,1
"0509",4,1
"0509",5,2
"0509",7,2
"0509",8,4
"0509",9,4
"0599",3,1
"0600",2,1
"0600",3,1
"0600",4,1
"0600",5,1
"0600",7,1
"0600",8,3
"0600",9,4
"0601",10,4
"0601",3,1
"0601",4,1
"0601",5,2
"0601",7,4
"0601",8,4
"0601",9,4
"0603",1,1
"0603",2,1
"0603",3,1
"0603",4,1
"0603",5,1
"0603",7,1
"0603",8,3
"0603",9,3
"0607",2,1
"0607",3,1
"0607",4,1
"0607",5,2
"0607",7,2
"0607",8,4
"0607",9,4
"0609",4,1
"0609",5,2
"0609",7,3
"0609",8,4
"0611",10,4
"0611",1,1
"0611",2,1
"0611",3,1
"0611",4,2
"0611",5,3
"0611",7,4
"0611",8,4
"0611",9,4
"0613",10,4
"0613",3,1
"0613",4,1
"0613",5,1
"0613",7,1
"0613",8,3
"0613",9,4
"0615",5,1
"0615",7,2
"0615",8,3
"0617",10,3
"0617",1,1
"0617",2,1
"0617",3,1
"0617",4,1
"0617",5,1
"0617",7,1
"0617",8,2
"0617",9,3
"0619",2,1
"0619",3,1
"0619",4,1
"0619",5,1
"0619",7,1
"0619",8,1
"0619",9,2
"0699",10,4
"0699",1,1
"0699",2,1
"0699",3,1
"0699",4,1
"0699",5,2
"0699",7,2
"0699",8,3
"0699",9,4
"0700",10,3
"0700",3,1
"0700",4,1
"0700",5,1
"0700",7,1
"0700",8,2
"0700",9,3
"0701",10,4
"0701",1,1
"0701",2,1
"0701",3,1
"0701",4,1
"0701",5,1
"0701",7,1
"0701",8,3
"0701",9,3
"0703",7,1
"0703",8,2
"0703",9,3
"0799",2,1
"0799",3,1
"0799",4,1
"0799",5,1
"0800",5,1
"0800",7,1
"0801",1,1
"0801",2,1
"0801",3,1
"0801",4,1
"0801",5,1
"0801",7,2
"0801",8,4
"0801",9,4
"0803",10,4
"0803",5,1
"0803",7,1
"0803",8,3
"0803",9,3
"0805",10,3
"0805",1,1
"0805",2,1
"0805",3,1
"0805",4,1
"0805",5,1
"0805",7,1
"0805",8,1
"0805",9,2
"0807",1,1
"0807",2,1
"0807",3,1
"0807",4,1
"0807",5,1
"0807",7,1
"0807",8,1
"0807",9,1
"0809",1,1
"0809",2,1
"0809",3,1
"0809",4,1
"0809",5,1
"0809",7,1
"0809",8,1
"0809",9,2
"0811",10,4
"0811",1,1
"0811",2,1
"0811",3,1
"0811",4,1
"0811",5,1
"0811",7,2
"0811",8,2
"0811",9,3
"0899",2,1
"0899",3,1
"0899",4,1
"0899",5,1
"0899",7,1
"0899",8,2
"0899",9,3
"0900",4,1
"0900",5,1
"0900",7,1
"0900",8,2
"0900",9,2
"0901",10,4
"0901",7,1
"0901",8,2
"0901",9,2
"0903",10,3
"0903",1,1
"0903",2,1
"0903",3,1
"0903",4,1
"0903",5,1
"0903",7,1
"0903",8,2
"0903",9,3
"0905",1,1
"0905",2,1
"0905",3,1
"0905",4,1
"0905",5,1
"0905",7,1
"0905",8,2
"0905",9,3
"0907",10,3
"0907",5,1
"0907",7,1
"0907",8,2
"0907",9,2
"0909",10,4
"0909",3,1
"0909",4,1
"0909",5,1
"0909",7,3
"0909",8,4
"0909",9,4
"0911",2,1
"0911",3,1
"0911",4,1
"0911",5,1
"0911",7,1
"0911",8,2
"0913",4,1
"0913",5,1
"0913",7,1
"0913",8,2
"0913",9,2
"0915",10,3
"0915",1,1
"0915",2,1
"0915",3,1
"0915",4,1
"0915",5,1
"0915",7,1
"0915",8,2
"0915",9,2
"0917",10,3
"0917",3,1
"0917",4,1
"0917",5,1
"0917",7,1
"0917",8,2
"0917",9,2
"0919",10,4
"0919",5,1
"0919",7,3
"0919",8,4
"0919",9,4
"0921",1,1
"0921",2,1
"0921",3,1
"0921",4,1
"0921",5,1
"0921",7,1
"0921",8,2
"0921",9,2
"0999",10,3
"0999",1,1
"0999",2,1
"0999",3,1
"0999",4,1
"0999",5,1
"0999",7,1
"0999",8,2
"0999",9,2
"1000",2,1
"1000",3,1
"1000",4,2
"1000",5,2
"1000",7,2
"1000",8,3
"1000",9,3
"1001",10,4
"1001",1,1
"1001",2,1
"1001",3,1
"1001",4,2
"1001",5,2
"1001",7,2
"1001",8,3
"1001",9,4
"1003",1,1
"1003",2,1
"1003",3,1
"1003",4,2
"1003",5,2
"1003",7,2
"1003",8,3
"1003",9,3
"1005",1,1
"1005",2,1
"1005",3,1
"1005",4,2
"1005",5,2
"1005",7,2
"1005",8,3
"1005",9,3
"1007",10,3
"1007",1,1
"1007",2,1
"1007",3,1
"1007",4,1
"1007",5,1
"1007",7,1
"1007",8,2
"1007",9,3
"1101",1,1
"1101",2,1
"1101",3,1
"1101",4,1
"1101",5,1
"1101",7,1
"1101",8,2
"1101",9,2
"1103",1,1
"1103",2,1
"1103",3,1
"1103",4,1
"1103",5,1
"1103",7,1
