"level_code","field_code","duration_yr","fee","cum_duration","fee_component","none_fee_component","duration_whole_yr","loan_for_course","loan_at_graduation","sac_funding","total_funding"
"04","0100",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0101",0.5,5500,0.5,2750,5450,0,8200,8200,11081,5540.5
"04","0103",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0105",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0107",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0109",0.5,5500,0.5,2750,5450,0,8200,8200,11081,5540.5
"04","0199",0.5,5500,0.5,2750,5450,0,8200,8200,11081,5540.5
"04","0200",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0201",0.5,5500,0.5,2750,5450,0,8200,8200,9478,4739
"04","0203",0.5,5500,0.5,2750,5450,0,8200,8200,9478,4739
"04","0299",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0300",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0301",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0303",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0305",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0307",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0309",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0311",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0313",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0315",0.5,5500,0.5,2750,5450,0,8200,8200,12643,6321.5
"04","0317",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0399",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0400",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0401",0.5,5500,0.5,2750,5450,0,8200,8200,9478,4739
"04","0403",0.5,5500,0.5,2750,5450,0,8200,8200,9478,4739
"04","0500",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0501",0.5,5500,0.5,2750,5450,0,8200,8200,10650,5325
"04","0503",0.5,5500,0.5,2750,5450,0,8200,8200,10650,5325
"04","0505",0.5,5500,0.5,2750,5450,0,8200,8200,10650,5325
"04","0507",0.5,5500,0.5,2750,5450,0,8200,8200,10650,5325
"04","0509",0.5,5500,0.5,2750,5450,0,8200,8200,10650,5325
"04","0599",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0600",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0601",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0603",0.5,5500,0.5,2750,5450,0,8200,8200,10650,5325
"04","0605",0.5,5500,0.5,2750,5450,0,8200,8200,13563,6781.5
"04","0607",0.5,5500,0.5,2750,5450,0,8200,8200,13563,6781.5
"04","0609",0.5,5500,0.5,2750,5450,0,8200,8200,13563,6781.5
"04","0611",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0613",0.5,5500,0.5,2750,5450,0,8200,8200,11395,5697.5
"04","0615",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
"04","0617",0.5,5500,0.5,2750,5450,0,8200,8200,9478,4739
"04","0619",0.5,5500,0.5,2750,5450,0,8200,8200,6196,3098
"04","0699",0.5,5500,0.5,2750,5450,0,8200,8200,9478,4739
"04","0700",0.5,5500,0.5,2750,5450,0,8200,8200,NA,NA
